No,Movie_Name,Year_Started,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
321,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",May works to uncover the truth about what happened to her; Aida's next move puts everyone's life at risk.,8.5,NA,1964,NA,Marvel
322,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Dr. Radcliffe goes after the Koenig family to find the location of the Darkhold. The Superior reveals his plans to Radcliffe.,8.2,NA,1960,NA,Marvel
323,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",An explosive Inhuman surfaces and the team are tasked with containing it. Elsewhere: Coulson and Mack encounter Radcliffe's inspiration for Aida.,8.1,NA,1939,NA,Marvel
324,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,WendeyStanzler,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson and the team engage in a deadly cat-and-mouse game as they work to rescue Director Mace, who is fighting for his life.",8.3,NA,1990,NA,Marvel
325,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,JedWhedon,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","As Radcliffe and Aida's plan goes into action, Fitz and Simmons are trapped in the Playground unsure of which of their friends are real and which ones have been replaced by LMDs.",9.5,NA,4213,NA,Marvel
326,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,OzScott,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Daisy and Simmons uncover secrets and lies in a world gone mad. With Hydra in control, they are our only hope to save everyone.",9.2,NA,2684,NA,Marvel
327,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","As Daisy and Simmons struggle to discover an escape route to the real world, the identity of the Inhuman leader of the Resistance is revealed.",8.9,NA,2300,NA,Marvel
328,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,EricLaneuville,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The truth behind Fitz's turn threatens to bring down all of S.H.I.E.L.D.,9.1,NA,2380,NA,Marvel
329,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Daisy teams up with an unlikely partner; Aida prepares to put her endgame into effect.,8.7,NA,2146,NA,Marvel
330,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",41,TV-PG,VincentMisiano,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","The clock is ticking for Daisy and Simmons to get the team out of the Framework, but not everyone is ready and willing to leave.",9.1,NA,2329,NA,Marvel
331,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson and the team's victory in the Framework is short-lived, as an even deadlier enemy looms against them all.",9.2,NA,2374,NA,Marvel
332,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,BillyGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With the surprising emergence of Ghost Rider, Coulson and the team attempt to stop Aida from ending the world.",9.2,NA,2594,NA,Marvel
333,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson and the team find themselves trapped on a mysterious ship in outer space, and that's just the beginning of the nightmare to come.",9,NA,2814,NA,Marvel
334,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,DavidSolomon,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson and the team find themselves stranded on a mysterious ship in outer space, and that's just the beginning of the nightmare to come.",8.8,NA,2528,NA,Marvel
335,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,KevinHooks,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Daisy decides she will rescue Simmons, even though she must risk everything.",8.3,NA,2176,NA,Marvel
336,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-PG,StanleyM.Brooks,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Coulson and the team discover their captors' true intentions.,8.4,NA,2114,NA,Marvel
337,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With the help of Lance Hunter, nothing will stop Fitz from finding his lost team as his secret journey is revealed.",9.2,NA,2782,NA,Marvel
338,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-PG,ClarkGregg,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With Daisy's life on the line, an unexpected friend attempts to rescue her.",9,NA,2328,NA,Marvel
339,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",40,TV-14,BradTurner,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Just as the team reunites, they become prey to an undefeated Kree warrior bent on killing them all.",8.4,NA,1991,NA,Marvel
340,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Coulson and the team discover that the most unexpected person from S.H.I.E.L.D.'s past may hold the key to stopping Earth's destruction.,8.4,NA,2015,NA,Marvel
341,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",41,TV-PG,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Mack, Yo-Yo and Flint fight to keep everyone alive by starting a revolution against the Kree.",8.4,NA,1881,NA,Marvel
342,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,EricLaneuville,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","The team has one final chance to return to their timeline, but their actions may have deadly consequences.",8.7,NA,2034,NA,Marvel
343,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,KateWoods,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Coulson and his team are out to rewrite the fate of humanity but they are unaware how the changes will affect one S.H.I.E.L.D. agent's life.,8.6,NA,1939,NA,Marvel
344,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson finally reveals the mysterious deal he made with Ghost Rider, which will impact everyone on the team.",9.2,NA,2689,NA,Marvel
345,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,BradTurner,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team goes in search of Gravitonium in order to save the world.,8.2,NA,1815,NA,Marvel
346,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Fitz and Simmons are faced with one of their greatest fears as they search for a way to seal the rift.,9.1,NA,2453,NA,Marvel
347,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Coulson uncovers General Hale's real agenda and it could be the end of the world if S.H.I.E.L.D. can't help her.,8.6,NA,1845,NA,Marvel
348,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,SalliRichardson-Whitfield,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Coulson is forced to team up with unlikely allies to save the world, while his team try to track him down and rescue him.",8.4,NA,1728,NA,Marvel
349,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","When an agents life hangs in the balance, Fitz, Simmons and Yo-Yo attempt to neutralise a weapon that could play a role in Earth's destruction.",8.2,NA,1695,NA,Marvel
350,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",41,TV-14,JenniferLynch,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team must find a way to stop Ruby before the prophesied chain reaction that can destroy the earth is put into motion.,8.4,NA,1677,NA,Marvel
351,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team finds themselves trapped and under siege at the Lighthouse.,8.7,NA,1759,NA,Marvel
352,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,CherieGierhart,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",A newly determined Talbot takes Coulson to meet the enemy and attempts to avert Earth's destruction.,8.4,NA,1696,NA,Marvel
353,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Daisy's future as the destroyer of worlds could take a critical change.,8.6,NA,1723,NA,Marvel
354,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,JedWhedon,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team must choose between Coulson's life or death; the wrong decision will cause the destruction of Earth.,9.3,NA,2675,NA,Marvel
355,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,ClarkGregg,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Scattered across the galaxy, the team works to find their footing in the wake of losing Coulson.",8.1,NA,1916,NA,Marvel
356,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","While Fitz and Enoch struggle in space, Sarge and his team move forward with their mysterious mission on Earth.",8.1,NA,1592,NA,Marvel
357,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","While Fitz and Enoch try their luck at the casino, Daisy and Simmons find themselves in a much more exciting situation.",8.5,NA,1887,NA,Marvel
358,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",41,TV-14,MarkKolpack,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",Yo-Yo and Keller take things public; parasitic aliens threaten the human race; and someone really needs boba.,7.9,NA,1600,NA,Marvel
359,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,LouDiamondPhillips,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Sarge has May; Altarah has Daisy, Enoch and Simmons; and now, there are two planets that need saving.",8.1,NA,1445,NA,Marvel
360,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Fitz and Simmons have fought through space, time and alternate realities to find each other, and now, closer than ever, only their own demons can stop their mission.",9,NA,2200,NA,Marvel
361,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,KeithPotter,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","After finding themselves in yet another gambling dilemma, a mysterious stranger offers Enoch and FitzSimmons a ride home.",8,NA,1371,NA,Marvel
362,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,KristinWindell,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","To face The Galaxy-Hopping Hate-Beast That Eats Planets, the team on Earth asks for help in all the wrong places; while back on the Lazy Comet, something weird goes on with Izel's crew.",8.5,NA,1372,NA,Marvel
363,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,SarahBoyd,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",There's no time for the team to play catch-up when there's a planet to save.,8.6,NA,1395,NA,Marvel
364,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker",The team must trust each other in order to face impending doom and an enemy that's closer than they think.,8.6,NA,1394,NA,Marvel
365,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,JenniferPhang,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","Out of answers and running out of time, the agents must face the ghosts of their past to move forward.",8.2,NA,1261,NA,Marvel
366,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",41,TV-14,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With time running short, the team has to go to hell to stop the end of everything.",8.5,NA,1289,NA,Marvel
367,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,IainDeCaestecker","With time running short, the team has to go to hell to stop the end of everything.",8.7,NA,1509,NA,Marvel
368,The Falcon and the Winter Soldier,2021,"Action,Adventure,Drama",47,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,WyattRussell,DonCheadle",Sam Wilson and Bucky Barnes realize that their futures are anything but normal.,7.8,NA,14662,NA,Marvel
369,The Falcon and the Winter Soldier,2021,"Action,Adventure,Drama",47,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,WyattRussell,Cl<U+00E9>Bennett","John Walker is named Captain America, and Sam Wilson and Bucky Barnes team up against the rebel group the Flag Smashers.",7.9,NA,12611,NA,Marvel
370,The Falcon and the Winter Soldier,2021,"Action,Adventure,Drama",51,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,DanielBr<U+00FC>hl,EmilyVanCamp","To find the source of the Super Soldier Serum, Sam and Bucky must scale a ladder of low-lifes starting in Madripoor with Zemo.",8,NA,11623,NA,Marvel
371,The Falcon and the Winter Soldier,2021,"Action,Adventure,Drama",53,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,DanielBr<U+00FC>hl,EmilyVanCamp",John Walker loses patience with Sam and Bucky as they learn more about Karli Morgenthau.,8.8,NA,13150,NA,Marvel
372,The Falcon and the Winter Soldier,2021,"Action,Adventure,Drama",57,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,DanielBr<U+00FC>hl,EmilyVanCamp","Sam Wilson, Bucky Barnes, Baron Zemo, John Walker, and Karli Morgenthau must all deal with the fall out from their actions.",8,NA,10736,NA,Marvel
373,The Falcon and the Winter Soldier,2021,"Action,Adventure,Drama",49,TV-14,KariSkogland,"AnthonyMackie,SebastianStan,EmilyVanCamp,DanielBr<U+00FC>hl","As the Flag Smashers escalate their efforts, Sam and Bucky take action.",7.9,NA,10805,NA,Marvel
374,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","Coulson and the agents are thrust backwards in time and stranded in 1931 New York City; with an all-new Zephyr set to time-jump at any moment, the team must hurry to find out exactly what happened.",8.4,NA,1645,NA,Marvel
375,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,EricLaneuville,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","With the identity of the timeline-unraveling ""thread"" revealed, the team's mission to protect him at all costs leads each agent to question their own values.",8.2,NA,1445,NA,Marvel
376,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,NinaLopez-Corrado,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","A surprise leap forward in time strands Enoch in 1931 and lands the team in another unfamiliar decade; in order to stop the chronicoms from launching their future-dismantling plan, the ...                See full summary <U+00BB>",8.6,NA,1487,NA,Marvel
377,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","Agent Phil Coulson comes to a realization about the importance of July 22, 1955, in the S.H.I.E.L.D. history books.",8.8,NA,1576,NA,Marvel
378,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,StanleyM.Brooks,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge",The team - Daniel Sousa in tow - reunites with more than one familiar face at the S.H.I.E.L.D. hangout and discovers exactly how to dismantle the Chronicoms' latest plan; the Zephyr unexpectedly leaps forward again.,8.5,NA,1364,NA,Marvel
379,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,AprillWinney,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","After blowing its cover and damaging the Zephyr in the process, the team must scramble to rescue Mack's parents, save S.H.I.E.L.D. from a chronicom infestation and fix the ship; Daisy and ...                See full summary <U+00BB>",8.5,NA,1304,NA,Marvel
380,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,JesseBochco,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","After getting stranded in 1982, Mack retreats to his childhood home to deal with the death of his parents; Deke scouts a group of new agents.",8,NA,1584,NA,Marvel
381,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",42,TV-14,EliGonda,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","With the Zephyr's time drive malfunctioning, the team hurtle toward disaster with Yo-Yo as its only hope; Yo-Yo must enlist the help of an old adversary to regain her powers.",8,NA,1274,NA,Marvel
382,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,ElizabethHenstridge,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","A time storm ravages the Zephyr, propelling it toward destruction while simultaneously forcing Daisy and Coulson to relive their failed attempts to save the team.",9.6,NA,2700,NA,Marvel
383,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",41,TV-14,GarryA.Brown,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","The team arrives back in 1983, where Nathaniel and Kora are hard at work building an army; Daisy is tasked with protecting Jiaying; the others learn they'll need to face another supercharged enemy to stop Malick.",8.3,NA,1184,NA,Marvel
384,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,KeithPotter,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","With help from Kora on the inside, Sibyl and Nathanial continue their fight to shape a dark new future for S.H.I.E.L.D., managing to stay one step ahead of the agents along the way.",8.4,NA,1156,NA,Marvel
385,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,ChrisCheramie,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge","Sibyl attempts to get the location of Fitz from Jemma's memories. Meanwhile, the SHIELD team attempts to stop Nathaniel's plans for anarchy and the Chronicoms' attempts to rewrite history.",9.1,NA,1471,NA,Marvel
387,Agents of S.H.I.E.L.D.,2013,"Action,Adventure,Drama",43,TV-14,KevinTancharoen,"ClarkGregg,Ming-NaWen,ChloeBennet,ElizabethHenstridge",The final fight against the Chronicoms begins. A familiar face returns.,9.5,NA,2284,NA,Marvel
388,WandaVision,2021,"Action,Comedy,Drama",30,TV-PG,MattShakman,"ElizabethOlsen,PaulBettany,KathrynHahn,FredMelamed",Wanda and Vision struggle to conceal their powers during dinner with Vision's boss and his wife.,7.5,NA,21001,NA,Marvel
